"","file.number","day","hms","file.directory"
"53","Distance experiment P13 and P04","2023-07-31","01:08:44","Distance experiment/Distance experiment P13 and P04/FLIR4153.jpg"
"54","Distance experiment P13 and P04","2023-08-08","12:38:19","Distance experiment/Distance experiment P13 and P04/FLIR4154.jpg"
"55","Distance experiment P13 and P04","2023-07-31","01:09:00","Distance experiment/Distance experiment P13 and P04/FLIR4155.jpg"
"56","Distance experiment P13 and P04","2023-08-08","12:39:28","Distance experiment/Distance experiment P13 and P04/FLIR4156.jpg"
"57","Distance experiment P13 and P04","2023-08-08","12:40:29","Distance experiment/Distance experiment P13 and P04/FLIR4157.jpg"
"58","Distance experiment P13 and P04","2023-08-08","12:41:23","Distance experiment/Distance experiment P13 and P04/FLIR4158.jpg"
"59","Distance experiment P13 and P04","2023-08-08","12:42:20","Distance experiment/Distance experiment P13 and P04/FLIR4159.jpg"
"60","Distance experiment P13 and P04","2023-08-08","12:43:04","Distance experiment/Distance experiment P13 and P04/FLIR4160.jpg"
"61","Distance experiment P13 and P04","2023-08-08","12:43:48","Distance experiment/Distance experiment P13 and P04/FLIR4161.jpg"
"62","Distance experiment P13 and P04","2023-08-08","12:45:14","Distance experiment/Distance experiment P13 and P04/FLIR4162.jpg"
"63","Distance experiment P13 and P04","2023-08-08","12:45:55","Distance experiment/Distance experiment P13 and P04/FLIR4163.jpg"
"64","Distance experiment P13 and P04","2023-07-31","01:34:22","Distance experiment/Distance experiment P13 and P04/FLIR4164.jpg"
"65","Distance experiment P13 and P04","2023-07-31","01:36:56","Distance experiment/Distance experiment P13 and P04/FLIR4166.jpg"
"66","1946","2023-06-20","09:30:08","Distance experiment/FLIR1946.jpg"
"67","1947","2023-06-20","09:30:20","Distance experiment/FLIR1947.jpg"
"68","1948","2023-06-20","09:30:36","Distance experiment/FLIR1948.jpg"
"69","1949","2023-06-20","09:30:50","Distance experiment/FLIR1949.jpg"
"70","1950","2023-06-20","09:31:10","Distance experiment/FLIR1950.jpg"
"71","1951","2023-06-20","09:31:28","Distance experiment/FLIR1951.jpg"
"72","1952","2023-06-20","09:31:44","Distance experiment/FLIR1952.jpg"
"73","1953","2023-06-20","09:32:08","Distance experiment/FLIR1953.jpg"
"74","1954","2023-06-20","09:32:38","Distance experiment/FLIR1954.jpg"
"75","1955","2023-06-20","09:33:10","Distance experiment/FLIR1955.jpg"
"76","1956","2023-06-20","09:34:34","Distance experiment/FLIR1956.jpg"
"77","1957","2023-06-20","09:34:42","Distance experiment/FLIR1957.jpg"
"78","1958","2023-06-20","09:34:52","Distance experiment/FLIR1958.jpg"
"79","1959","2023-06-20","09:35:06","Distance experiment/FLIR1959.jpg"
"80","1960","2023-06-20","09:35:16","Distance experiment/FLIR1960.jpg"
"81","1961","2023-06-20","09:35:26","Distance experiment/FLIR1961.jpg"
"82","1962","2023-06-20","09:35:38","Distance experiment/FLIR1962.jpg"
"83","1963","2023-06-20","09:35:50","Distance experiment/FLIR1963.jpg"
"84","1964","2023-06-20","09:36:02","Distance experiment/FLIR1964.jpg"
"85","1965","2023-06-20","09:36:18","Distance experiment/FLIR1965.jpg"
"86","1966","2023-06-20","09:38:00","Distance experiment/FLIR1966.jpg"
"87","1967","2023-06-20","09:38:06","Distance experiment/FLIR1967.jpg"
"88","1968","2023-06-20","09:38:14","Distance experiment/FLIR1968.jpg"
"89","1969","2023-06-20","09:38:22","Distance experiment/FLIR1969.jpg"
"90","1970","2023-06-20","09:38:30","Distance experiment/FLIR1970.jpg"
"91","1971","2023-06-20","09:38:42","Distance experiment/FLIR1971.jpg"
"92","1972","2023-06-20","09:38:58","Distance experiment/FLIR1972.jpg"
"93","1973","2023-06-20","09:39:10","Distance experiment/FLIR1973.jpg"
"94","1974","2023-06-20","09:39:28","Distance experiment/FLIR1974.jpg"
"95","1975","2023-06-20","09:42:52","Distance experiment/FLIR1975.jpg"
"96","1976","2023-06-20","09:43:00","Distance experiment/FLIR1976.jpg"
"97","1977","2023-06-20","09:43:10","Distance experiment/FLIR1977.jpg"
"98","1978","2023-06-20","09:43:18","Distance experiment/FLIR1978.jpg"
"99","1979","2023-06-20","09:43:28","Distance experiment/FLIR1979.jpg"
"100","1980","2023-06-20","09:43:42","Distance experiment/FLIR1980.jpg"
"101","1981","2023-06-20","09:43:54","Distance experiment/FLIR1981.jpg"
"102","1982","2023-06-20","09:44:06","Distance experiment/FLIR1982.jpg"
"103","1983","2023-06-20","09:44:26","Distance experiment/FLIR1983.jpg"
"104","1984","2023-06-20","09:44:40","Distance experiment/FLIR1984.jpg"
"105","1985","2023-06-20","09:45:46","Distance experiment/FLIR1985.jpg"
"106","1986","2023-06-20","09:45:50","Distance experiment/FLIR1986.jpg"
"107","1987","2023-06-20","09:45:56","Distance experiment/FLIR1987.jpg"
"108","1988","2023-06-20","09:46:04","Distance experiment/FLIR1988.jpg"
"109","1989","2023-06-20","09:46:14","Distance experiment/FLIR1989.jpg"
"110","1990","2023-06-20","09:46:24","Distance experiment/FLIR1990.jpg"
"111","1991","2023-06-20","09:46:36","Distance experiment/FLIR1991.jpg"
"112","1992","2023-06-20","09:46:46","Distance experiment/FLIR1992.jpg"
"113","1993","2023-06-20","09:46:58","Distance experiment/FLIR1993.jpg"
"114","1994","2023-06-20","09:48:02","Distance experiment/FLIR1994.jpg"
"115","1995","2023-06-20","09:48:06","Distance experiment/FLIR1995.jpg"
"116","1996","2023-06-20","09:48:16","Distance experiment/FLIR1996.jpg"
"117","1997","2023-06-20","09:48:32","Distance experiment/FLIR1997.jpg"
"118","1998","2023-06-20","09:48:46","Distance experiment/FLIR1998.jpg"
"119","1999","2023-06-20","09:48:58","Distance experiment/FLIR1999.jpg"
"120","2000","2023-06-20","09:49:10","Distance experiment/FLIR2000.jpg"
"121","2001","2023-06-20","09:49:22","Distance experiment/FLIR2001.jpg"
"122","2002","2023-06-20","09:49:38","Distance experiment/FLIR2002.jpg"
"123","2003","2023-06-20","09:52:12","Distance experiment/FLIR2003.jpg"
"124","2004","2023-06-20","09:52:18","Distance experiment/FLIR2004.jpg"
"125","2005","2023-06-20","09:52:32","Distance experiment/FLIR2005.jpg"
"126","2006","2023-06-20","09:52:40","Distance experiment/FLIR2006.jpg"
"127","2007","2023-06-20","09:52:50","Distance experiment/FLIR2007.jpg"
"128","2008","2023-06-20","09:53:10","Distance experiment/FLIR2008.jpg"
"129","2009","2023-06-20","09:53:30","Distance experiment/FLIR2009.jpg"
"130","2010","2023-06-20","09:53:48","Distance experiment/FLIR2010.jpg"
"131","2011","2023-06-20","09:54:14","Distance experiment/FLIR2011.jpg"
"132","2012","2023-06-20","09:55:32","Distance experiment/FLIR2012.jpg"
"133","2013","2023-06-20","09:55:36","Distance experiment/FLIR2013.jpg"
"134","2014","2023-06-20","09:55:46","Distance experiment/FLIR2014.jpg"
"135","2015","2023-06-20","09:55:54","Distance experiment/FLIR2015.jpg"
"136","2016","2023-06-20","09:56:02","Distance experiment/FLIR2016.jpg"
"137","2017","2023-06-20","09:56:10","Distance experiment/FLIR2017.jpg"
"138","2018","2023-06-20","09:56:26","Distance experiment/FLIR2018.jpg"
"139","2019","2023-06-20","09:56:36","Distance experiment/FLIR2019.jpg"
"140","2020","2023-06-20","09:56:48","Distance experiment/FLIR2020.jpg"
"141","2021","2023-06-20","09:57:46","Distance experiment/FLIR2021.jpg"
"142","2022","2023-06-20","09:57:50","Distance experiment/FLIR2022.jpg"
"143","2023","2023-06-20","09:57:56","Distance experiment/FLIR2023.jpg"
"144","2024","2023-06-20","09:58:02","Distance experiment/FLIR2024.jpg"
"145","2025","2023-06-20","09:58:10","Distance experiment/FLIR2025.jpg"
"146","2026","2023-06-20","09:58:18","Distance experiment/FLIR2026.jpg"
"147","2027","2023-06-20","09:58:28","Distance experiment/FLIR2027.jpg"
"148","2028","2023-06-20","09:58:36","Distance experiment/FLIR2028.jpg"
"149","2029","2023-06-20","09:58:52","Distance experiment/FLIR2029.jpg"
"150","2030","2023-06-20","10:00:36","Distance experiment/FLIR2030.jpg"
"151","2031","2023-06-20","10:00:40","Distance experiment/FLIR2031.jpg"
"152","2032","2023-06-20","10:00:44","Distance experiment/FLIR2032.jpg"
"153","2033","2023-06-20","10:00:52","Distance experiment/FLIR2033.jpg"
"154","2034","2023-06-20","10:01:00","Distance experiment/FLIR2034.jpg"
"155","2035","2023-06-20","10:01:08","Distance experiment/FLIR2035.jpg"
"156","2036","2023-06-20","10:01:18","Distance experiment/FLIR2036.jpg"
"157","2037","2023-06-20","10:01:28","Distance experiment/FLIR2037.jpg"
"158","2038","2023-06-20","10:01:44","Distance experiment/FLIR2038.jpg"
"159","2039","2023-06-20","10:02:46","Distance experiment/FLIR2039.jpg"
"160","2040","2023-06-20","10:02:50","Distance experiment/FLIR2040.jpg"
"161","2041","2023-06-20","10:02:54","Distance experiment/FLIR2041.jpg"
"162","2042","2023-06-20","10:02:58","Distance experiment/FLIR2042.jpg"
"163","2043","2023-06-20","10:03:06","Distance experiment/FLIR2043.jpg"
"164","2044","2023-06-20","10:03:14","Distance experiment/FLIR2044.jpg"
"165","2045","2023-06-20","10:03:22","Distance experiment/FLIR2045.jpg"
"166","2046","2023-06-20","10:03:30","Distance experiment/FLIR2046.jpg"
"167","2047","2023-06-20","10:03:58","Distance experiment/FLIR2047.jpg"
